,time,count_all,count_m,count_f,count_u
0,2016-01-01,484933,379312,104457,1164
1,2016-02-01,531048,417215,112587,1246
2,2016-03-01,826678,634214,190551,1913
3,2016-04-01,882679,674127,206510,2042
4,2016-05-01,1035959,783687,249831,2441
5,2016-06-01,1265112,947425,314575,3112
6,2016-07-01,1176515,876313,297031,3171
7,2016-08-01,1343039,999494,339546,3999
8,2016-09-01,1433341,1057013,371638,4690
9,2016-10-01,1388498,1033611,350496,4391
10,2016-11-01,1088074,819880,264304,3890
11,2016-12-01,767100,592839,171585,2676
12,2017-01-01,694412,539673,152014,2725
13,2017-02-01,734761,562815,169309,2637
14,2017-03-01,689686,535309,151896,2481
15,2017-04-01,1146732,854806,287698,4228
16,2017-05-01,1350445,1006273,339394,4778
17,2017-06-01,1539162,1131924,401249,5989
18,2017-07-01,1507003,1099377,401017,6609
19,2017-08-01,1591782,1161992,422385,7405
20,2017-09-01,1670630,1218512,444132,7986
21,2017-10-01,1701999,1251344,441805,8850
22,2017-11-01,1241304,930725,304164,6415
23,2017-12-01,850522,651547,194760,4215
24,2018-01-01,718994,537589,151806,29599
25,2018-02-01,843114,621749,181266,40099
26,2018-03-01,976672,702533,212687,61452
27,2018-04-01,1307543,890184,293830,123529
28,2018-05-01,1824710,1203816,421304,199590
29,2018-06-01,1953103,1281908,469544,201651
30,2018-07-01,1913625,1242546,460279,210800
31,2018-08-01,1977177,1296312,475485,205380
32,2018-09-01,1877884,1240964,463433,173487
33,2018-10-01,1878657,1304230,448785,125642
34,2018-11-01,1260355,902869,290368,67118
35,2018-12-01,1016505,746622,223675,46208
36,2019-01-01,967287,727130,206028,34129
37,2019-02-01,943744,703464,203512,36768
38,2019-03-01,1327960,962603,293780,71577
39,2019-04-01,1766094,1218551,409285,138258
40,2019-05-01,1924563,1293779,462613,168171
41,2019-06-01,2125370,1399108,527577,198685
42,2019-07-01,2181064,1441107,543928,196029
43,2019-08-01,2344224,1530272,588431,225521
44,2019-09-01,2444900,1612056,626859,205985
45,2019-09-01,2444900,1612056,626859,205985
46,2019-09-01,2444900,1612056,626859,205985
47,2019-09-01,2444900,1612056,626859,205985
